Date,Open,High,Low,Close,Volume
31-May-17,107.57,107.93,107.04,107.56,569126
30-May-17,106.25,106.69,106.23,106.62,640451
26-May-17,105.78,106.36,105.78,106.30,781865
25-May-17,106.33,106.98,106.31,106.81,535992
24-May-17,106.11,106.69,105.98,106.59,314788
23-May-17,106.61,106.64,106.06,106.28,829016
22-May-17,105.45,105.76,105.41,105.74,629733
19-May-17,105.04,105.44,104.96,105.08,714832
18-May-17,103.63,104.42,103.57,103.93,1088712
17-May-17,104.65,105.14,103.91,103.91,688474
16-May-17,104.98,105.08,104.14,104.69,463961
15-May-17,103.34,103.68,103.31,103.51,330345
12-May-17,102.79,103.55,102.71,103.37,556857
11-May-17,102.18,102.32,101.65,102.15,652537
10-May-17,104.00,104.05,103.26,103.39,540317
9-May-17,103.38,104.04,103.35,103.67,860556
8-May-17,103.03,103.41,102.91,103.31,485418
5-May-17,102.53,103.90,102.50,103.88,519541
4-May-17,101.49,102.46,101.42,102.36,576722
3-May-17,100.88,101.02,100.56,100.89,639398
2-May-17,100.85,101.38,100.75,101.37,968418
1-May-17,100.42,101.11,100.42,100.94,519365
28-Apr-17,100.07,100.45,100.00,100.18,736680
27-Apr-17,100.32,100.85,100.11,100.70,677965
26-Apr-17,100.81,101.06,100.20,100.25,1648807
25-Apr-17,101.88,102.26,101.23,102.13,1478780
24-Apr-17,100.83,101.96,100.61,101.38,1920736
21-Apr-17,97.30,97.34,96.83,97.00,917193
20-Apr-17,97.50,97.52,97.11,97.15,681846
19-Apr-17,97.10,97.32,96.86,97.05,921828
18-Apr-17,96.81,97.03,96.49,97.02,488306
17-Apr-17,96.58,96.90,96.44,96.78,685536
13-Apr-17,96.61,97.09,96.17,96.18,1023677
12-Apr-17,97.13,97.49,96.91,97.34,726697
11-Apr-17,97.04,97.26,96.04,97.06,841308
10-Apr-17,97.15,97.47,97.02,97.39,664513
7-Apr-17,97.05,97.65,97.01,97.52,448660
6-Apr-17,97.13,97.66,96.94,97.27,516379
5-Apr-17,97.75,98.31,97.27,97.38,511710
4-Apr-17,98.18,98.52,98.12,98.47,427249
3-Apr-17,98.62,98.69,97.65,98.21,576779
31-Mar-17,97.74,98.61,97.74,98.17,570303
30-Mar-17,97.90,98.24,97.77,97.91,742975
29-Mar-17,97.92,98.49,97.77,98.41,759825
28-Mar-17,98.21,98.65,98.13,98.49,655362
27-Mar-17,97.14,97.65,96.94,97.35,520202
24-Mar-17,97.94,98.32,97.59,97.89,428852
23-Mar-17,97.33,98.29,97.26,97.87,575114
22-Mar-17,97.33,98.05,97.23,97.65,702715
21-Mar-17,98.63,98.79,96.92,97.01,1571705
20-Mar-17,98.06,98.18,97.73,98.11,1174747
17-Mar-17,97.52,97.77,97.18,97.36,1412640
16-Mar-17,97.38,97.44,96.94,97.34,1307658
15-Mar-17,94.94,96.16,94.87,96.04,926967
14-Mar-17,95.08,95.17,94.62,94.70,837138
13-Mar-17,94.88,95.27,94.88,95.12,876457
10-Mar-17,94.94,95.30,94.60,95.18,1229162
9-Mar-17,94.86,94.88,94.30,94.57,611947
8-Mar-17,94.18,94.58,94.11,94.18,345984
7-Mar-17,93.96,94.40,93.74,94.02,516973
6-Mar-17,94.19,94.29,93.79,94.09,380101
3-Mar-17,94.12,94.64,94.01,94.64,490230
2-Mar-17,93.91,94.71,93.81,94.46,554989
1-Mar-17,93.96,94.66,93.89,94.48,1028183
28-Feb-17,93.16,93.58,93.16,93.18,596526
27-Feb-17,92.89,93.35,92.87,93.22,512605
24-Feb-17,93.01,93.37,92.77,93.37,630167
23-Feb-17,93.92,94.45,93.83,94.14,449672
22-Feb-17,93.56,94.17,93.42,94.01,606249
21-Feb-17,92.55,93.15,92.51,93.15,604454
17-Feb-17,92.24,92.58,92.19,92.46,729484
16-Feb-17,92.48,92.84,92.45,92.75,597846
15-Feb-17,91.44,92.55,91.39,92.45,699011
14-Feb-17,92.49,92.53,92.08,92.47,439584
13-Feb-17,92.88,92.93,92.48,92.53,400411
10-Feb-17,91.70,91.94,91.64,91.73,417028
9-Feb-17,91.90,92.17,91.71,91.71,548787
8-Feb-17,91.72,92.22,91.62,91.79,653804
7-Feb-17,91.36,91.99,91.31,91.96,1532969
6-Feb-17,90.89,91.33,90.81,91.25,1222105
3-Feb-17,92.40,92.58,92.07,92.52,628735
2-Feb-17,92.56,92.64,91.75,91.87,1481436
1-Feb-17,90.93,91.01,90.19,90.71,1177675
31-Jan-17,91.73,91.80,91.19,91.51,924399
30-Jan-17,90.67,91.44,90.49,91.33,1127642
27-Jan-17,91.22,91.56,90.87,91.12,786637
26-Jan-17,90.64,91.04,90.43,90.82,764517
25-Jan-17,90.94,91.29,90.56,91.22,1012894
24-Jan-17,90.01,90.13,89.31,89.63,1188451
23-Jan-17,89.44,89.47,88.84,89.30,647571
20-Jan-17,89.37,89.59,89.31,89.40,424321
19-Jan-17,88.80,89.49,88.80,89.23,1153558
18-Jan-17,88.90,89.38,88.87,89.35,790134
17-Jan-17,89.51,89.74,89.28,89.64,853804
13-Jan-17,89.28,89.68,89.10,89.44,406078
12-Jan-17,88.72,89.62,88.67,89.39,614420
11-Jan-17,87.83,88.92,87.76,88.79,1417935
10-Jan-17,89.03,89.28,88.51,88.63,579928
9-Jan-17,88.97,89.48,88.92,89.36,1230843
6-Jan-17,87.82,88.73,87.72,88.47,911445
5-Jan-17,86.37,87.95,86.33,87.85,1257940
4-Jan-17,85.66,86.70,85.49,86.66,1057673
3-Jan-17,86.25,86.44,85.92,86.30,803732
30-Dec-16,86.92,87.23,86.07,86.43,835039
29-Dec-16,86.38,86.68,86.23,86.51,529631
28-Dec-16,85.92,86.03,85.54,85.68,363416
27-Dec-16,85.76,86.14,85.73,85.80,320283
23-Dec-16,85.44,85.75,85.42,85.69,349427
22-Dec-16,85.95,85.99,85.58,85.71,1020824
21-Dec-16,86.61,86.67,85.85,85.95,478221
20-Dec-16,85.77,86.09,85.58,86.05,426419
19-Dec-16,85.47,85.88,85.11,85.27,424338
16-Dec-16,84.81,85.21,84.76,85.01,569112
15-Dec-16,84.28,84.94,84.14,84.68,770797
14-Dec-16,85.60,85.98,84.71,84.91,686850
13-Dec-16,85.17,86.05,85.17,85.44,486465
12-Dec-16,84.70,84.73,84.03,84.46,767038
9-Dec-16,84.37,84.62,84.21,84.43,552511
8-Dec-16,84.17,84.64,84.05,84.24,877422
7-Dec-16,83.50,84.95,83.45,84.74,583885
6-Dec-16,82.49,83.15,82.45,82.99,680411
5-Dec-16,82.85,83.29,82.59,83.13,438816
2-Dec-16,81.47,82.42,81.30,81.92,1253488
1-Dec-16,82.89,82.97,81.75,81.91,868170
30-Nov-16,84.29,84.29,83.16,83.22,596414
29-Nov-16,83.92,84.79,83.82,84.52,597836
28-Nov-16,85.01,85.23,84.53,84.56,710747
25-Nov-16,85.80,85.85,85.35,85.61,658072
23-Nov-16,83.74,84.19,83.57,84.14,852255
22-Nov-16,84.79,85.52,84.36,85.40,1735235
21-Nov-16,83.84,84.25,83.65,84.25,683356
18-Nov-16,82.92,83.28,82.73,83.22,870439
17-Nov-16,82.15,82.69,82.04,82.46,1064082
16-Nov-16,81.63,82.52,81.62,82.24,883591
15-Nov-16,80.95,81.89,80.93,81.84,1905503
14-Nov-16,81.44,81.86,81.07,81.61,1290144
11-Nov-16,82.60,83.26,82.26,83.12,1385991
10-Nov-16,84.83,85.53,83.65,84.35,1319786
9-Nov-16,84.55,86.23,84.55,85.97,762313
8-Nov-16,86.27,86.83,86.25,86.46,717454
7-Nov-16,86.17,86.74,86.12,86.71,627558
4-Nov-16,85.55,85.88,85.20,85.35,616546
3-Nov-16,85.44,85.60,84.65,84.71,923238
2-Nov-16,86.47,86.80,85.83,86.05,765190
1-Nov-16,87.71,87.76,85.86,86.30,751109
31-Oct-16,87.88,88.30,87.69,87.84,637742
28-Oct-16,87.77,88.43,87.66,87.89,461223
27-Oct-16,88.31,88.39,87.63,87.66,799728
26-Oct-16,87.78,88.37,87.65,87.76,528801
25-Oct-16,88.15,88.63,88.02,88.31,697325
24-Oct-16,89.06,89.20,88.20,88.33,938379
21-Oct-16,89.22,89.38,88.36,88.82,3089231
20-Oct-16,86.39,87.44,86.20,87.28,1157222
19-Oct-16,87.19,87.50,86.90,86.96,578113
18-Oct-16,88.17,88.20,87.48,87.66,1086773
17-Oct-16,86.44,86.66,86.19,86.35,600741
14-Oct-16,86.95,87.28,86.07,86.13,1358326
13-Oct-16,86.49,87.52,86.16,87.24,651470
12-Oct-16,87.61,87.72,87.11,87.22,921574
11-Oct-16,89.64,89.70,88.54,88.61,897530
10-Oct-16,89.97,90.23,89.91,90.09,750084
7-Oct-16,90.48,90.54,89.06,89.57,984467
6-Oct-16,90.82,91.02,90.64,90.93,940191
5-Oct-16,91.38,91.45,90.85,90.96,422525
4-Oct-16,90.46,91.12,90.34,90.57,584031
3-Oct-16,90.92,91.31,90.59,90.89,544997
30-Sep-16,90.01,91.66,89.84,91.41,1029163
29-Sep-16,90.96,91.35,89.20,89.54,952836
28-Sep-16,91.45,92.18,90.90,92.08,926194
27-Sep-16,89.76,91.16,89.65,91.06,731209
26-Sep-16,90.97,91.03,90.50,90.74,628814
23-Sep-16,91.76,91.89,91.51,91.54,726275
22-Sep-16,92.58,92.76,92.19,92.36,1825575
21-Sep-16,89.45,90.42,89.16,90.32,714764
20-Sep-16,89.37,89.39,88.85,89.04,699115
19-Sep-16,88.21,88.48,87.85,88.09,476331
16-Sep-16,86.93,87.18,86.70,86.86,1034879
15-Sep-16,87.77,88.81,87.53,88.67,758238
14-Sep-16,88.13,88.76,88.07,88.32,561273
13-Sep-16,88.23,88.51,87.69,88.15,934824
12-Sep-16,87.38,88.81,87.28,88.76,889163
9-Sep-16,88.64,88.72,87.60,87.64,1210458
8-Sep-16,90.38,90.52,89.50,89.54,1057537
7-Sep-16,90.77,91.00,90.36,90.82,621278
6-Sep-16,90.22,90.50,89.90,90.40,537078
2-Sep-16,89.32,89.81,89.09,89.64,528808
1-Sep-16,88.28,88.53,87.92,88.47,612110
31-Aug-16,87.88,88.20,87.60,87.97,490104
30-Aug-16,88.70,88.99,88.53,88.74,719963
29-Aug-16,86.67,87.44,86.66,87.20,724971
26-Aug-16,87.58,88.55,86.88,87.27,868908
25-Aug-16,87.26,87.54,87.13,87.39,424669
